name,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Jesse Perry,female,group E,bachelor's degree,standard,completed,99,100,100
Joseph Greene,male,group C,high school,standard,none,84,77,74
Cynthia Beasley,female,group B,bachelor's degree,free/reduced,none,75,85,82
Marisa Singleton,female,group D,bachelor's degree,standard,none,78,82,79
Debra Lee,female,group D,some high school,standard,none,51,63,61
Jessica Parker,female,group C,some college,standard,none,55,69,65
Steven Friedman,female,group C,bachelor's degree,standard,completed,79,92,89
Sandra Ibarra,male,group B,associate's degree,standard,completed,91,89,92
David Flores,female,group C,some college,standard,completed,88,93,93
Lisa Webb,male,group D,high school,free/reduced,none,63,57,56
Melissa Glass,male,group E,some college,standard,none,83,80,73
Nancy Hernandez,female,group B,high school,standard,none,87,95,86
William Steele,male,group B,some high school,standard,none,72,68,67
Amber Swanson,male,group D,some college,standard,completed,65,77,74
Haley Marshall,male,group D,master's degree,standard,none,82,82,74
David Trevino,female,group A,bachelor's degree,standard,none,51,49,51
Chad Thornton,male,group D,master's degree,standard,none,89,84,82
Sarah Mann,male,group C,some high school,free/reduced,completed,53,37,40
Victor Long,male,group E,some college,free/reduced,completed,87,74,70
Ashley Smith,female,group C,some college,standard,completed,75,81,84
Christopher Phillips,male,group D,bachelor's degree,free/reduced,completed,74,79,75
Andrew Jimenez,male,group C,bachelor's degree,standard,none,58,55,48
Mr. Ronald Hahn,male,group B,some high school,standard,completed,51,54,41
Bobby Mclaughlin,male,group E,high school,standard,none,70,55,56
Mary Combs,female,group C,associate's degree,standard,none,59,66,67
Christie Russell,male,group D,some college,standard,completed,71,61,69
Mary Mckay,female,group D,some high school,standard,none,76,72,71
Amanda Matthews,female,group C,some college,free/reduced,none,59,62,64
Joshua Wood,female,group E,some college,free/reduced,completed,42,55,54
John Williams,male,group A,high school,standard,none,57,43,47
Jose Cross,male,group D,some college,standard,none,88,73,78
Sarah Horton,female,group C,some college,free/reduced,none,22,39,33
Jesse Jones,male,group B,some high school,standard,none,88,84,75
Jessica Johnson,male,group C,associate's degree,free/reduced,none,73,68,66
Lisa Andrews,female,group D,bachelor's degree,standard,completed,68,75,81
Mr. Wayne Freeman DVM,male,group E,associate's degree,free/reduced,completed,100,100,93
Carlos Williams,male,group A,some high school,standard,completed,62,67,69
Heidi Wilkins,male,group A,bachelor's degree,standard,none,77,67,68
Judith Anderson,female,group B,associate's degree,standard,completed,59,70,66
Rhonda Brooks,male,group D,bachelor's degree,standard,none,54,49,47
Deborah Jones,male,group D,some high school,standard,none,62,67,61
Donald Hughes,female,group C,some college,standard,completed,70,89,88
Patrick Bishop,female,group E,high school,free/reduced,completed,66,74,78
Travis Kelley,male,group B,some college,free/reduced,none,60,60,60
Melissa Taylor,female,group B,associate's degree,standard,completed,61,86,87
Marcus Hamilton,male,group D,associate's degree,free/reduced,none,66,62,64
Charles Walsh,male,group B,associate's degree,free/reduced,completed,82,78,74
Lisa Sanders,female,group E,some college,free/reduced,completed,75,88,85
Linda Davis,male,group B,master's degree,free/reduced,none,49,53,52
Daniel Baker,male,group C,high school,standard,none,52,53,49
Jessica Harrison,female,group E,master's degree,standard,none,81,92,91
Barbara Love,female,group C,bachelor's degree,standard,completed,96,100,100
Joshua Snow,male,group C,high school,free/reduced,completed,53,51,51
Jeff Marks,female,group B,master's degree,free/reduced,completed,58,76,78
Andrew Russo IV,female,group B,high school,standard,completed,68,83,78
Connie Rodriguez,female,group C,some college,free/reduced,completed,67,75,70
Sheila Richardson,male,group A,high school,standard,completed,72,73,74
Isaiah Thomas,male,group E,some high school,standard,none,94,88,78
Amanda Gonzalez,female,group D,some college,standard,none,79,86,81
Joel Williams,female,group C,associate's degree,standard,none,63,67,70
Jason Davis,female,group C,bachelor's degree,free/reduced,completed,43,51,54
William Dominguez,female,group C,master's degree,standard,completed,81,91,87
Samuel Johnson,female,group B,high school,free/reduced,completed,46,54,58
Michael Anderson,female,group C,associate's degree,standard,completed,71,77,77
Jose Jackson,female,group B,master's degree,free/reduced,completed,52,70,62
Rachel Gonzalez,female,group D,some high school,standard,completed,97,100,100
Cynthia Santiago,male,group C,master's degree,free/reduced,completed,62,68,75
Mitchell Wall,female,group C,some college,free/reduced,none,46,64,66
Tanya Blake,female,group E,high school,standard,none,50,50,47
Stephen Owens,female,group D,associate's degree,standard,none,65,69,70
Daniel Cruz,male,group C,some high school,free/reduced,completed,45,52,49
Anthony Morgan,male,group C,associate's degree,free/reduced,completed,65,67,65
Nicole Williamson,male,group E,high school,standard,none,80,76,65
Katherine Johnson,male,group D,some high school,standard,completed,62,66,68
Justin Shaffer,male,group B,some high school,free/reduced,none,48,52,45
Nathan Holmes,female,group C,bachelor's degree,standard,none,77,88,87
Joshua Hayes,female,group E,associate's degree,standard,none,66,65,69
Kathryn Bryant,male,group D,some college,standard,completed,76,83,79
Lisa Norman,female,group B,some high school,standard,none,62,64,66
Joy Manning,male,group D,some college,standard,completed,77,62,62
Dr. Todd Weaver,female,group C,master's degree,standard,completed,69,84,85
Natalie Lewis,male,group D,associate's degree,standard,none,61,55,52
Greg Eaton,male,group C,some high school,free/reduced,completed,59,69,65
William Scott,male,group E,high school,free/reduced,none,55,56,51
Megan Long,female,group B,some college,free/reduced,none,45,53,55
John Washington,female,group B,bachelor's degree,free/reduced,none,78,79,76
Debra Smith,female,group C,associate's degree,standard,completed,67,84,86
Tammy May,female,group D,some college,free/reduced,none,65,81,77
Laura Dunn,male,group C,associate's degree,standard,none,69,77,69
David Yoder,female,group B,associate's degree,standard,none,57,69,68
Kayla Bell,male,group C,some college,standard,none,59,41,42
Renee Henderson,male,group D,some high school,standard,completed,74,71,78
Maria Hobbs,male,group E,bachelor's degree,standard,none,82,62,62
Drew Ho,male,group E,high school,standard,completed,81,80,76
Christopher Gill,female,group B,some college,free/reduced,none,74,81,76
Isaac Gonzales,female,group B,some college,free/reduced,none,58,61,66
Eric Martin,male,group D,some high school,free/reduced,completed,80,79,79
Joseph Davis,male,group C,some college,free/reduced,none,35,28,27
Brittney Reyes,female,group C,high school,free/reduced,none,42,62,60
Rebekah Vasquez,male,group C,associate's degree,free/reduced,completed,60,51,56
Robert Henry,male,group E,high school,standard,completed,87,91,81
Rachel Le,male,group B,some high school,standard,completed,84,83,75
Dr. Barbara Rice,female,group E,associate's degree,free/reduced,completed,83,86,88
Carlos Wade,female,group C,high school,free/reduced,none,34,42,39
Joshua Gilbert,male,group B,high school,free/reduced,none,66,77,70
Brett Fowler,male,group B,some high school,standard,completed,61,56,56
Mr. Michael Murray,female,group D,high school,standard,completed,56,68,74
Nicole Hansen,male,group B,associate's degree,standard,none,87,85,73
Teresa Mendoza,female,group C,some high school,free/reduced,none,55,65,62
Zachary Murphy,male,group D,some high school,standard,none,86,80,75
Francisco Wang,female,group B,associate's degree,standard,completed,52,66,73
Hannah Tran,female,group E,master's degree,free/reduced,none,45,56,54
Joshua Ramirez,female,group C,some college,standard,none,72,72,71
Brittany Dougherty,male,group D,high school,standard,none,57,50,54
Christopher Wilson,male,group A,some high school,free/reduced,none,68,72,64
Stephanie Baker,female,group C,some college,standard,completed,88,95,94
Bethany Miller,male,group D,some college,standard,none,76,64,66
David Powell,male,group C,associate's degree,standard,none,46,43,42
Emily Sanchez,female,group B,bachelor's degree,standard,none,67,86,83
Christy Valdez,male,group E,some high school,standard,none,92,87,78
Todd Howard,male,group C,bachelor's degree,standard,completed,83,82,84
Morgan Robertson,male,group D,associate's degree,standard,none,80,75,77
Mitchell Marshall,male,group D,bachelor's degree,free/reduced,none,63,66,67
Amanda Phillips,female,group D,some high school,standard,completed,64,60,74
Timothy Perez,male,group B,some college,standard,none,54,52,51
Linda Ballard,male,group C,associate's degree,standard,none,84,80,80
Brett Underwood,male,group D,high school,free/reduced,completed,73,68,66
George Peterson,female,group E,bachelor's degree,standard,none,80,83,83
Kimberly Atkins,female,group D,high school,standard,none,56,52,55
Scott French,male,group E,some college,standard,none,59,51,43
Kristina Burnett,male,group D,some high school,standard,none,75,74,69
Shelly Warner,male,group C,associate's degree,standard,none,85,76,71
Julian Mcfarland,male,group E,associate's degree,standard,none,89,76,74
Elizabeth Robinson,female,group B,high school,standard,completed,58,70,68
Oscar Flores,female,group B,high school,standard,none,65,64,62
Linda Gibson,male,group C,high school,standard,none,68,60,53
Sarah Stewart,male,group A,some high school,standard,completed,47,49,49
Scott Smith,female,group D,some college,free/reduced,none,71,83,83
Brian Watts,female,group B,some high school,standard,completed,60,70,70
Julia Wagner,male,group D,master's degree,standard,none,80,80,72
Gregory Cox,male,group D,high school,standard,none,54,52,52
Jenna Sullivan,female,group E,some college,standard,none,62,73,70
Douglas Kelley,female,group C,associate's degree,free/reduced,none,64,73,68
Beverly Sullivan,male,group C,associate's degree,standard,completed,78,77,77
Garrett Riley,female,group B,some college,standard,none,70,75,78
Natalie Ortiz,female,group C,master's degree,free/reduced,completed,65,81,81
Catherine Reeves,female,group C,some high school,free/reduced,completed,64,79,77
Lucas Kramer,male,group C,some college,standard,completed,79,79,78
Rebecca Day,female,group C,some high school,free/reduced,none,44,50,51
Todd Thompson,female,group E,high school,standard,none,99,93,90
Christina Bernard,male,group D,high school,standard,none,76,73,68
John Bryant,male,group D,some high school,free/reduced,none,59,42,41
Jeffrey Summers,female,group C,bachelor's degree,standard,none,63,75,81
Jennifer Sanders,female,group D,high school,standard,none,69,72,77
Matthew Freeman,female,group D,associate's degree,standard,completed,88,92,95
Maria Cabrera,female,group E,some college,free/reduced,none,71,76,70
Cindy Williams,male,group C,bachelor's degree,standard,none,69,63,61
Wesley Garcia,male,group C,some college,standard,none,58,49,42
Andrew Hayes,female,group D,associate's degree,free/reduced,none,47,53,58
Carrie Johnston,female,group D,some college,standard,none,65,70,71
Emily Raymond,male,group B,some college,standard,completed,88,85,76
Shane Cole,male,group C,bachelor's degree,standard,none,83,78,73
Ian Martinez,female,group C,some high school,standard,completed,85,92,93
Cindy Smith,female,group E,high school,standard,completed,59,63,75
Mrs. Michelle Bishop,female,group C,some high school,free/reduced,none,65,86,80
James Swanson,male,group B,bachelor's degree,free/reduced,none,73,56,57
Ashley Johnson,male,group D,high school,standard,none,53,52,42
Jennifer Webb,male,group D,high school,standard,none,45,48,46
Jordan Huff,female,group D,bachelor's degree,free/reduced,none,73,79,84
Adam White,female,group D,some college,free/reduced,completed,70,78,78
Sydney Galloway,female,group B,some high school,standard,none,37,46,46
Laura Ford,male,group B,associate's degree,standard,completed,81,82,82
Nancy Reed,male,group E,associate's degree,standard,completed,97,82,88
John Hartman,female,group B,some high school,standard,none,67,89,82
Steven Rodriguez,male,group B,bachelor's degree,free/reduced,none,88,75,76
Tiffany Ellis,male,group E,some high school,standard,completed,77,76,77
Jackie Mcgrath,male,group C,associate's degree,standard,none,76,70,68
Tara Duke,male,group D,some high school,standard,none,86,73,70
William Williams,male,group C,some high school,standard,completed,63,60,57
Tina Carter,female,group E,bachelor's degree,standard,none,65,73,75
Barbara Hoffman,male,group D,high school,free/reduced,completed,78,77,80
Ryan Mitchell,male,group B,associate's degree,free/reduced,none,67,62,60
Lance Ford,male,group A,some high school,standard,completed,46,41,43
Roy Stewart,male,group E,associate's degree,standard,completed,71,74,68
Jennifer Allen,male,group C,high school,free/reduced,completed,40,46,50
Sarah Williams,male,group D,associate's degree,free/reduced,none,90,87,75
Kevin Barr,male,group A,some college,free/reduced,completed,81,78,81
Dale Curry,male,group D,some high school,free/reduced,none,56,54,52
Nathan Gray,female,group C,associate's degree,standard,completed,67,84,81
Barbara Avila,male,group B,associate's degree,standard,none,80,76,64
Tiffany Small,female,group C,associate's degree,standard,completed,74,75,83
Brenda Prince,male,group A,some college,standard,none,69,67,69
Eduardo Zamora,male,group E,some college,standard,completed,99,87,81
Elizabeth Ramirez,male,group C,some high school,standard,none,51,52,44
Denise Walker,female,group B,associate's degree,free/reduced,none,53,71,67
Alicia Hudson,female,group D,high school,free/reduced,none,49,57,52
Angie Pennington,female,group B,associate's degree,standard,none,73,76,80
Kayla Herman,male,group B,bachelor's degree,standard,none,66,60,57
Wayne Frank,male,group D,bachelor's degree,standard,completed,67,61,68
Shelley Sosa,female,group C,associate's degree,free/reduced,completed,68,67,69
Vanessa Foster,female,group C,bachelor's degree,standard,completed,59,64,75
Patrick Mclaughlin,male,group C,high school,standard,none,71,66,65
Justin Mcclain,female,group D,master's degree,standard,completed,77,82,91
Samuel Smith,male,group C,associate's degree,standard,none,83,72,78
Daniel Hampton,male,group B,bachelor's degree,standard,none,63,71,69
Jessica Lewis,female,group D,associate's degree,free/reduced,none,56,65,63
Aaron Parker,female,group C,high school,free/reduced,completed,67,79,84
Teresa Nelson,female,group E,high school,standard,none,75,86,79
Evelyn Harris,female,group C,some college,standard,none,71,81,80
Jesus Parsons,female,group C,some high school,free/reduced,none,43,53,53
Louis Miller,female,group C,high school,free/reduced,none,41,46,43
Valerie Schneider,female,group C,some college,standard,none,82,90,94
Angela Dawson,male,group C,some college,standard,none,61,61,62
Laura Gallegos,male,group A,some college,free/reduced,none,28,23,19
David Collins,male,group C,associate's degree,standard,completed,82,75,77
Leroy Potter,female,group B,some high school,standard,none,41,55,51
Timothy Walker,male,group C,high school,standard,none,71,60,61
Corey Cabrera,male,group C,associate's degree,standard,none,47,37,35
Kristen Williams,male,group E,associate's degree,standard,completed,62,56,53
Emily Hunter,male,group B,associate's degree,standard,none,90,78,81
Robert Allen,female,group C,bachelor's degree,standard,none,83,93,95
Michael Bond,female,group B,some college,free/reduced,none,61,68,66
Julian Thomas,male,group D,some high school,standard,completed,76,70,69
Andrew Rodriguez,male,group C,associate's degree,standard,none,49,51,43
Thomas Davis,female,group B,some high school,free/reduced,none,24,38,27
Jay Moore,female,group D,some high school,free/reduced,completed,35,55,60
Jeremy Anderson,male,group C,high school,free/reduced,none,58,61,52
Lisa Garcia,female,group C,high school,standard,none,61,73,63
Mr. Bruce Avila,female,group B,high school,standard,completed,69,76,74
Jennifer Wolfe,male,group D,associate's degree,standard,completed,67,72,67
Andrew Andersen,male,group D,some college,standard,none,79,73,67
Jennifer Marquez,female,group C,high school,standard,none,72,80,75
Kenneth Horton,male,group B,some college,standard,none,62,61,57
Casey Mcbride,female,group C,bachelor's degree,standard,completed,77,94,95
Victoria Hoffman,male,group D,high school,free/reduced,none,75,74,66
Kenneth Burns,male,group E,associate's degree,standard,none,87,74,76
Kenneth Cook,female,group B,bachelor's degree,standard,none,52,65,69
Christian Lewis,male,group E,some college,standard,none,66,57,52
Nicole Kelly,female,group C,some college,standard,completed,63,78,80
Andrew Bridges,female,group C,associate's degree,standard,none,46,58,57
Shelby Barker,female,group C,some college,standard,none,59,71,70
Stacy Blake,female,group B,bachelor's degree,standard,none,61,72,70
Rita Cline,male,group A,associate's degree,standard,none,63,61,61
Kayla Todd,female,group C,some college,free/reduced,completed,42,66,69
Mary Bond,male,group D,some college,free/reduced,none,59,62,61
Sean Scott,female,group D,some college,standard,none,80,90,89
Patricia Curry MD,female,group B,high school,standard,none,58,62,59
Christopher Stark,male,group B,some high school,standard,completed,85,84,78
John Neal,female,group C,some college,standard,none,52,58,58
Troy Brock,female,group D,some high school,free/reduced,none,27,34,32
Darlene Lewis,male,group C,some college,standard,none,59,60,58
Matthew Ramsey,male,group A,bachelor's degree,free/reduced,completed,49,58,60
Miss Victoria Miller,male,group C,high school,standard,completed,69,58,53
Holly Middleton,male,group C,bachelor's degree,free/reduced,none,61,66,61
Tammy Graham,female,group A,some high school,free/reduced,none,44,64,58
Peggy Smith,female,group D,some high school,standard,none,73,84,85
Dennis Bowers,male,group E,some college,standard,none,84,77,71
Stephanie Wilson,female,group C,some college,free/reduced,completed,45,73,70
David Farley,male,group D,some high school,standard,none,74,74,72
Michelle Chan,female,group D,some college,standard,completed,82,97,96
Bernard Moreno,female,group D,bachelor's degree,standard,none,59,70,73
Chad Rodriguez,male,group E,associate's degree,free/reduced,none,46,43,41
Dalton Gaines,female,group D,some high school,standard,none,80,90,82
Luis Atkinson,female,group D,master's degree,free/reduced,completed,85,95,100
Joseph Garcia,female,group A,some high school,standard,none,71,83,77
Crystal Wood,male,group A,bachelor's degree,standard,none,66,64,62
Robert Tate,female,group B,associate's degree,standard,none,80,86,83
Kyle Martin,male,group C,associate's degree,standard,completed,87,100,95
Monique Acevedo,male,group C,master's degree,free/reduced,none,79,81,71
James Walsh,female,group E,some high school,free/reduced,none,38,49,45
Eric Conway,female,group A,some high school,free/reduced,none,38,43,43
Peter Johnston,female,group E,some college,standard,none,67,76,75
Charles Hicks DDS,female,group E,bachelor's degree,standard,none,64,73,70
Russell Phelps,female,group C,associate's degree,free/reduced,none,57,78,67
Jason Olsen,female,group D,high school,standard,none,62,64,64
Ashley Wolf,male,group D,master's degree,standard,none,73,70,75
Alfred Johnson,male,group E,some high school,free/reduced,completed,73,67,59
Sandra Grant,female,group D,some college,standard,none,77,68,77
Claudia West,male,group E,some college,standard,none,76,67,67
Jacob Prince,male,group C,associate's degree,standard,completed,57,54,56
Eric Ward,female,group C,some high school,standard,completed,65,74,77
Kelly Paul,male,group A,high school,free/reduced,none,48,45,41
Kayla Howard,female,group B,high school,free/reduced,none,50,67,63
Nathaniel Hawkins,female,group C,associate's degree,standard,none,85,89,95
Linda Hawkins,male,group B,some high school,standard,none,74,63,57
Nancy Hanson,male,group D,some high school,standard,none,60,59,54
William Keller,female,group C,some high school,standard,completed,59,54,67
Justin Stevenson,male,group A,some college,standard,none,53,43,43
Sheila Gross,female,group A,some college,free/reduced,none,49,65,55
Patricia Morrison,female,group D,high school,standard,completed,88,99,100
Joseph Mcmillan,female,group C,high school,standard,none,54,59,62
Dr. Jamie Hernandez,female,group C,some high school,standard,none,63,73,68
Jonathan Davenport DVM,male,group B,associate's degree,standard,completed,65,65,63
Kimberly Brooks,female,group B,associate's degree,standard,none,82,80,77
Sandra Castillo,female,group D,high school,free/reduced,completed,52,57,56
Shawn Wall,male,group D,associate's degree,standard,completed,87,84,85
Barbara Long,female,group D,master's degree,standard,completed,70,71,74
Mark Fleming,male,group E,some college,standard,completed,84,83,78
Teresa Garrett,male,group D,associate's degree,standard,none,71,66,60
Christina Dominguez,male,group B,some high school,standard,completed,63,67,67
Richard Walsh,female,group C,bachelor's degree,free/reduced,completed,51,72,79
Angela Berry,male,group E,high school,standard,none,84,73,69
Gregory Smith,male,group C,bachelor's degree,standard,completed,71,74,68
Danielle Rivera,male,group C,associate's degree,standard,none,74,73,67
Tracy Davis,male,group D,some college,standard,none,68,59,62
Connie White,male,group E,high school,free/reduced,completed,57,56,54
Erik Vargas,female,group C,associate's degree,free/reduced,completed,82,93,93
Dr. Nancy Yates MD,female,group D,high school,standard,completed,57,58,64
Claire Lee,female,group D,master's degree,free/reduced,completed,47,58,67
Rebecca Mills,female,group A,some high school,standard,completed,59,85,80
Timothy Dean,male,group B,some college,free/reduced,none,41,39,34
Austin Jackson,female,group C,some college,free/reduced,none,62,67,62
Sharon Yoder,male,group C,bachelor's degree,standard,none,86,83,86
Frances Cooper,male,group C,some high school,free/reduced,none,69,71,65
Michael Martinez,male,group A,some high school,free/reduced,none,65,59,53
Mark Golden,male,group C,some high school,free/reduced,none,68,63,54
Johnny Miller,male,group C,associate's degree,free/reduced,none,64,66,59
Anthony Sosa,female,group C,high school,standard,none,61,72,70
Cody Underwood,male,group C,high school,standard,none,61,56,55
Jonathan Fields,female,group A,some high school,free/reduced,none,47,59,50
Maria Bird,male,group C,some high school,standard,none,73,66,66
Steven Schroeder,male,group C,some college,free/reduced,completed,50,48,53
Lauren Frost,male,group D,associate's degree,standard,none,75,68,64
Samuel Gillespie DDS,male,group D,associate's degree,free/reduced,none,75,66,73
Jessica King,male,group C,high school,standard,none,70,56,51
Nicole Dominguez,male,group D,some high school,standard,completed,89,88,82
Cheyenne Fischer,female,group C,some college,standard,completed,67,81,79
Kayla Ellis,female,group D,high school,standard,none,78,81,80
Michael Miller,female,group A,some high school,free/reduced,none,59,73,69
Sheena Mcdonald,female,group B,associate's degree,standard,none,73,83,76
Derrick Bradford,male,group A,some high school,free/reduced,none,79,82,73
Jorge Palmer,female,group C,some high school,standard,completed,67,74,77
Tammy Hughes,male,group D,some college,free/reduced,none,69,66,60
Alexander Molina,male,group C,high school,standard,completed,86,81,80
Kenneth Brown,male,group B,high school,standard,none,47,46,42
Kristi Bell,male,group B,associate's degree,standard,none,81,73,72
Taylor King,female,group C,some college,free/reduced,completed,64,85,85
Heather Lowe,female,group E,some college,standard,none,100,92,97
Ronald Pierce,female,group C,associate's degree,free/reduced,none,65,77,74
Jasmine Valentine,male,group C,some college,free/reduced,none,65,58,49
Jessica Barnes,female,group C,associate's degree,free/reduced,none,53,61,62
